"","População","Renda","Região"
"433",699,"1041710","Sul"
"434",1436,"601177","Sul"
"435",1712,"933357","Sul"
"436",862,"493587","Sul"
"437",619,"353276","Sul"
"438",1154,"660000","Sul"
"439",452,"409431","Sul"
"440",219,"190695","Sul"
"441",434,"799577","Sul"
"442",525,"678095","Sul"
"443",516,"639929","Sul"
"444",802,"965866","Sul"
"445",573,"763067","Sul"
"446",581,"924280","Sul"
"447",727,"1008582","Sul"
"448",868,"1197951","Sul"
"449",1031,"1199804","Sul"
"450",439,"432819","Sul"
"451",748,"643304","Sul"
"452",757,"610600","Sul"
"453",1038,"807815","Sul"
"454",1337,"884066","Sul"
"455",1304,"1492570","Sul"
"456",724,"487813","Sul"
"457",475,"404223","Sul"
"458",666,"440719","Sul"
"459",837,"558661","Sul"
"460",572,"446880","Sul"
"461",641,"547145","Sul"
"462",677,"444656","Sul"
"463",753,"706640","Sul"
"464",606,"502869","Sul"
"465",777,"758427","Sul"
"466",760,"692266","Sul"
"467",535,"420009","Sul"
"468",587,"444213","Sul"
"469",589,"375789","Sul"
"470",500,"381052","Sul"
"471",476,"353751","Oeste"
"472",476,"353751","Sul"
"473",558,"453838","Sul"
"474",730,"405638","Oeste"
"475",1046,"361521","Sul"
"476",500,"220667","Sul"
"477",332,"372570","Sul"
"478",774,"542828","Sul"
"479",404,"366768","Sul"
"480",684,"579865","Sul"
"481",401,"384507","Sul"
"482",1250,"812077","Sul"
"483",467,"239621","Sul"
"484",853,"759835","Sul"
"485",964,"775801","Sul"
"486",661,"453846","Sul"
"487",721,"442087","Sul"
"488",702,"553072","Sul"
"489",635,"474375","Sul"
"490",1038,"764949","Sul"
"491",741,"624790","Sul"
"492",967,"838654","Sul"
"493",633,"572479","Sul"
"494",516,"529185","Sul"
"495",603,"801452","Sul"
"496",568,"544316","Sul"
"497",693,"581868","Sul"
"498",823,"769771","Sul"
"499",830,"718282","Sul"
"500",1071,"995057","Sul"
"501",817,"660901","Sul"
"502",1059,"1033540","Sul"
"503",372,"520395","Sul"
"504",922,"868059","Sul"
"505",655,"849075","Sul"
"506",288,"1795260","Sul"
"507",777,"1009416","Sul"
"508",720,"683936","Sul"
"509",876,"716196","Sul"
"510",845,"1007418","Sul"
"511",958,"571681","Sul"
"512",808,"512360","Sul"
"513",1030,"699666","Sul"
"514",908,"474560","Sul"
"515",1061,"618723","Sul"
"516",590,"373231","Sul"
"517",891,"525383","Sul"
"518",592,"360899","Sul"
"519",1142,"672177","Sul"
"520",869,"493293","Oeste"
"521",869,"493293","Sul"
"522",196,"108080","Sul"
"523",21,"X","Sul"
"524",530,"293553","Oeste"
"525",530,"293553","Sul"
"526",1011,"404492","Oeste"
"527",1011,"404492","Sul"
"528",1375,"496857","Oeste"
"529",1375,"496857","Sul"
"530",1108,"640212","Oeste"
"531",880,"401896","Oeste"
"532",436,"246076","Norte"
"533",577,"311415","Norte"
"534",349,"223134","Norte"
"535",474,"198858","Norte"
"536",705,"431241","Norte"
"537",49,"54920","Norte"
"538",421,"182019","Norte"
"539",906,"318882","Norte"
"540",1190,"397057","Norte"
"541",282,"83470","Leste"
"542",282,"83470","Norte"
"543",487,"182663","Leste"
"544",487,"182663","Norte"
"545",400,"257691","Centro"
"546",400,"257691","Leste"
"547",400,"257691","Sudeste"
"548",752,"262024","Leste"
"549",834,"356974","Leste"
"550",520,"245236","Leste"
"551",783,"326124","Leste"
"552",783,"326124","Sudeste"
"553",113,"47748","Sudeste"
"554",709,"230801","Leste"
"555",709,"230801","Sudeste"
"556",805,"375492","Sudeste"
"557",1821,"947037","Sudeste"
"558",712,"336768","Leste"
"559",712,"336768","Sudeste"
"560",588,"378724","Sul"
"561",588,"378724","Sudeste"
"562",42,"42330","Sul"
"563",42,"42330","Sudeste"
"564",560,"541647","Sul"
"565",2279,"685392","Sul"
"566",791,"274913","Sul"
"567",819,"289453","Sul"
"568",1066,"286471","Sul"
"569",1405,"477049","Sul"
"570",1033,"431529","Sul"
"571",1156,"706973","Sul"
"572",502,"301000","Sul"
"573",1160,"874355","Sul"
"574",865,"509963","Sul"
"575",646,"393620","Sul"
"576",520,"327370","Sul"
"577",587,"349509","Sul"
"578",494,"350010","Sul"
"579",434,"217110","Sul"
"580",485,"310044","Sul"
"581",498,"297061","Sul"
"582",596,"369100","Sul"
"583",741,"472984","Sul"
"584",458,"330723","Sul"
"585",705,"560693","Sul"
"586",788,"587787","Sul"
"587",1201,"504469","Sul"
"588",645,"307321","Sul"
"589",770,"302520","Sul"
"590",1045,"738653","Sul"
"591",876,"799752","Sul"
"592",626,"411430","Sul"
"593",838,"524707","Sul"
"594",867,"318431","Sul"
"595",959,"432896","Sul"
"596",553,"263424","Sul"
"597",972,"430038","Sul"
"598",975,"446786","Sul"
"599",942,"476958","Sul"
"600",474,"214953","Sul"
"601",564,"315827","Sul"
"602",707,"363733","Sul"
"603",659,"350048","Sul"
"604",990,"386611","Sul"
"605",664,"309863","Sul"
"606",856,"452511","Sul"
"607",378,"124261","Sul"
"608",1019,"427775","Sul"
"609",1089,"450633","Sul"
"610",743,"325275","Sul"
"611",586,"189375","Sul"
"612",851,"461060","Sul"
"613",800,"476231","Sul"
"614",716,"359085","Sul"
"615",735,"516549","Sul"
"616",676,"545422","Sul"
"617",355,"288310","Sul"
"618",738,"509857","Sul"
"619",1281,"1374697","Sul"
"620",516,"514143","Sul"
"621",788,"374465","Sul"
"622",644,"243587","Sul"
"623",1191,"570642","Sul"
"624",943,"303793","Sul"
"625",560,"321532","Sul"
"626",484,"267617","Sul"
"627",940,"588492","Sul"
"628",655,"512415","Sul"
"629",566,"422500","Sul"
"630",684,"480882","Sul"
"631",1189,"402146","Sul"
"632",923,"314861","Sul"
"633",819,"282402","Sul"
"634",654,"241844","Sul"
"635",504,"339796","Sul"
"636",586,"340965","Sul"
"637",1035,"646913","Sul"
"638",1035,"835571","Sul"
"639",975,"396183","Sul"
"640",906,"429363","Sul"
"641",721,"319793","Sul"
"642",802,"344451","Sul"
"643",609,"411195","Sul"
"644",676,"386412","Sul"
"645",525,"186422","Sul"
"646",825,"360700","Sul"
"647",618,"257640","Sul"
"648",750,"338643","Sul"
"649",664,"326489","Sul"
"650",955,"437046","Sul"
"651",638,"316344","Sul"
"652",815,"427017","Sul"
"653",654,"342744","Sul"
"654",771,"441965","Sul"
"655",1482,"724614","Sul"
"656",174,"0","Sudeste"
"657",485,"484762","Leste"
"658",367,"364198","Leste"
"659",303,"298539","Leste"
"660",540,"560026","Centro"
"661",515,"846925","Centro"
"662",429,"739591","Centro"
"663",365,"X","Centro"
"664",660,"517225","Centro"
"665",290,"503539","Centro"
"666",1007,"693843","Sudeste"
"667",475,"687359","Sudeste"
"668",526,"1057830","Centro"
"669",526,"1057830","Sul"
"670",526,"1057830","Sudeste"
"671",674,"341623","Sudeste"
"672",402,"482756","Sul"
"673",460,"403328","Sul"
"674",632,"502464","Sul"
"675",452,"605540","Sul"
"676",437,"290325","Sul"
"677",378,"250479","Sul"
"678",176,"116383","Oeste"
"679",176,"116383","Sul"
"680",539,"641405","Sul"
"681",810,"686646","Sul"
"682",581,"528325","Sul"
"683",515,"398436","Sul"
"684",761,"374724","Norte"
"685",671,"444188","Norte"
"686",606,"259175","Norte"
"687",557,"265767","Norte"
"688",473,"358786","Norte"
"689",543,"1244465","Oeste"
"690",662,"2219311","Oeste"
"691",844,"2747292","Oeste"
"692",695,"2286490","Oeste"
"693",350,"153570","Leste"
"694",44,"X","Sul"
"695",44,"X","Leste"
"696",44,"X","Sudeste"
"697",596,"196437","Sul"
"698",61,"29710","Norte"
"699",90,"58420","Centro"
"700",181,"81298","Centro"
"701",181,"81298","Leste"
"702",181,"81298","Norte"
"703",541,"303105","Centro"
"704",519,"179362","Centro"
"705",378,"311678","Centro"
"706",399,"1135145","Centro"
"707",465,"613998","Centro"
"708",441,"429427","Centro"
"709",339,"212187","Centro"
"710",339,"212187","Norte"
"711",91,"35196","Norte"
"712",690,"837232","Norte"
"713",314,"523994","Norte"
"714",516,"923312","Norte"
"715",503,"736063","Norte"
"716",741,"471234","Centro"
"717",741,"471234","Norte"
"718",552,"347374","Centro"
"719",525,"715550","Centro"
"720",16,"61000","Centro"
"721",190,"118714","Norte"
"722",491,"1560540","Centro"
"723",154,"536970","Centro"
"724",193,"604840","Centro"
"725",193,"604840","Oeste"
"726",149,"344743","Centro"
"727",149,"344743","Oeste"
"728",445,"1318751","Centro"
"729",439,"1730136","Centro"
"730",552,"1413428","Centro"
"731",163,"483360","Centro"
"732",160,"498010","Centro"
"733",231,"609051","Centro"
"734",113,"345500","Centro"
"735",323,"208519","Norte"
"736",512,"634473","Leste"
"737",514,"523190","Leste"
"738",318,"1817790","Centro"
"739",313,"1394590","Centro"
"740",435,"1935450","Centro"
"741",456,"2281393","Centro"
"742",12,"X","Leste"
"743",287,"619197","Sul"
"744",234,"369360","Sul"
"745",297,"611689","Sul"
"746",277,"539873","Sul"
"747",214,"434671","Sul"
"748",113,"270727","Sul"
"749",132,"268420","Sul"
"750",116,"273417","Sul"
"751",499,"853100","Sul"
"752",596,"1549358","Sul"
"753",130,"294013","Sul"
"754",427,"1097070","Sul"
"755",424,"1000738","Sul"
"756",427,"798343","Sul"
"757",217,"565920","Sul"
"758",486,"880494","Sul"
"759",214,"497793","Sul"
"760",233,"528490","Sul"
"761",212,"560986","Sul"
"762",453,"1561260","Oeste"
"763",142,"547162","Oeste"
"764",338,"1222490","Oeste"
"765",155,"432060","Oeste"
"766",245,"668097","Oeste"
"767",388,"1166941","Oeste"
"768",276,"863480","Oeste"
"769",265,"784110","Oeste"
"770",511,"1631270","Oeste"
"771",152,"547236","Oeste"
"772",130,"612218","Oeste"
"773",555,"1604097","Oeste"
"774",408,"1796772","Oeste"
"775",228,"786240","Oeste"
"776",704,"2306835","Oeste"
"777",303,"819700","Oeste"
"778",179,"771990","Oeste"
"779",227,"792470","Oeste"
"780",468,"1807858","Oeste"
"781",435,"1742187","Oeste"
"782",119,"373020","Oeste"
"783",192,"569010","Oeste"
"784",154,"562386","Oeste"
"785",177,"605600","Oeste"
"786",62,"X","Oeste"
"787",529,"1957842","Oeste"
"788",237,"542125","Oeste"
"789",281,"839680","Oeste"
"790",71,"262276","Oeste"
"791",367,"1005365","Oeste"
"792",321,"1160600","Oeste"
"793",5,"X","Oeste"
"794",2,"X","Oeste"
"795",401,"787994","Oeste"
"796",661,"923233","Oeste"
"797",429,"1156560","Oeste"
"798",390,"1318996","Oeste"
"799",416,"1012426","Oeste"
"800",689,"307473","Norte"
"801",540,"372705","Leste"
"802",363,"801860","Sul"
"803",293,"674768","Sul"
"804",392,"510954","Sul"
"805",341,"303134","Sul"
"806",352,"616965","Sul"
"807",769,"456274","Norte"
"808",758,"443651","Norte"
"809",830,"440261","Norte"
"810",541,"222227","Norte"
"811",921,"456408","Norte"
"812",208,"247410","Leste"
"813",616,"686659","Leste"
"814",492,"660852","Leste"
"815",800,"820434","Leste"
"816",642,"385755","Leste"
"817",379,"X","Leste"
"818",1294,"655435","Leste"
"819",1036,"432415","Leste"
"820",75,"X","Leste"
"821",579,"139844","Sudeste"
"822",758,"1015659","Sudeste"
"823",516,"472842","Sul"
"824",664,"912438","Sul"
"825",109,"181350","Sul"
"826",505,"727123","Sul"
"827",487,"1026810","Sul"
"828",424,"698979","Sul"
"829",100,"222830","Sul"
"830",69,"X","Sul"
"831",507,"952970","Sul"
"832",823,"534821","Sul"
"833",241,"106222","Norte"
"834",795,"438886","Sudeste"
"835",812,"300426","Sudeste"
"836",621,"299016","Sudeste"
"837",566,"256891","Sudeste"
"838",379,"161241","Sudeste"
"839",408,"199489","Sudeste"
"840",740,"302321","Sudeste"
"841",757,"349274","Sudeste"
"842",892,"491847","Sudeste"
"843",887,"514693","Sudeste"
"844",528,"302098","Sudeste"
"845",41,"326130","Sul"
"846",1284,"622014","Sul"
"847",637,"427979","Sul"
"848",434,"394155","Sul"
"849",349,"450663","Sul"
"850",312,"418965","Sul"
"851",593,"1559635","Sul"
"852",447,"696680","Sul"
"853",553,"648846","Sul"
"854",503,"970061","Sul"
"855",463,"1357075","Sul"
"856",404,"1245510","Sul"
"857",598,"460393","Sul"
"858",215,"277777","Sul"
"859",578,"802638","Sul"
"860",340,"445730","Sul"
"861",231,"317794","Sul"
"862",524,"413236","Sul"
"863",607,"736616","Sul"
"864",2,"X","Oeste"
"865",64,"X","Oeste"
"866",73,"X","Oeste"
"867",212,"155316","Sul"
"868",15,"19650","Sul"
"869",702,"938600","Sul"
"870",634,"591219","Sul"
"871",690,"580248","Sul"
"872",523,"533942","Sul"
"873",501,"1032438","Sul"
"874",431,"260311","Sul"
"875",532,"372030","Sul"
"876",858,"583726","Sul"
"877",492,"287677","Sul"
"878",452,"231663","Sul"
"879",615,"366825","Norte"
"880",240,"74476","Oeste"
"881",240,"74476","Norte"
"882",233,"94276","Norte"
"883",859,"472755","Norte"
"884",239,"134737","Norte"
"885",414,"138440","Norte"
"886",731,"349124","Norte"
"887",332,"116667","Norte"
"888",463,"246862","Leste"
"889",1012,"466626","Leste"
"890",1012,"466626","Sudeste"
"891",611,"262944","Leste"
"892",611,"262944","Sudeste"
"893",349,"110145","Leste"
"894",206,"64812","Leste"
"895",674,"331201","Sudeste"
"896",877,"517731","Sudeste"
"897",416,"194196","Sudeste"
"898",448,"132310","Sudeste"
"899",492,"288322","Sudeste"
"900",554,"581661","Sul"
"901",554,"581661","Sudeste"
"902",690,"377711","Sul"
"903",38,"12350","Sul"
"904",38,"12350","Sudeste"
"905",4,"X","Sul"
"906",1198,"769794","Sul"
"907",1012,"286325","Sul"
"908",1291,"1295025","Sul"
"909",819,"867896","Sul"
"910",356,"278854","Sul"
"911",859,"742054","Sul"
"912",1292,"1074099","Sul"
"913",1055,"552550","Sul"
"914",22,"X","Sul"
"915",892,"363521","Sul"
"916",570,"340874","Sul"
"917",582,"268721","Sul"
"918",656,"333901","Sul"
"919",491,"238508","Sul"
"920",436,"199499","Sul"
"921",787,"290548","Sul"
"922",321,"235105","Sul"
"923",494,"519240","Sul"
"924",592,"192982","Sul"
"925",587,"220167","Sul"
"926",524,"352385","Sul"
"927",838,"193494","Sul"
"928",597,"157409","Sul"
"929",721,"159181","Sul"
"930",663,"125146","Sul"
"931",490,"100069","Sul"
"932",271,"50896","Sul"
"933",354,"79783","Sul"
"934",212,"44061","Sul"
"935",105,"20410","Sul"
"936",174,"43055","Sul"
"937",746,"197664","Sul"
"938",206,"44438","Sul"
"939",157,"37920","Sul"
"940",478,"211019","Sul"
"941",1348,"550129","Sul"
"942",6,"X","Centro"
"943",16,"5700","Centro"
"944",558,"1471299","Oeste"
"945",59,"16997","Norte"
"946",203,"316083","Centro"
"947",203,"316083","Oeste"
"948",203,"316083","Norte"
"949",465,"1602708","Oeste"
"950",753,"2905934","Oeste"
"951",691,"1750448","Oeste"
"952",798,"2227665","Oeste"
"953",520,"921071","Oeste"
"954",337,"770510","Oeste"
"955",770,"526863","Leste"
"956",554,"313300","Norte"
"957",504,"217238","Leste"
"958",484,"265408","Leste"
"959",425,"277140","Leste"
"960",1121,"888722","Leste"
"961",412,"180179","Leste"
"962",412,"180179","Norte"
