Cod_setor;Situacao_setor;V001;V002;V003
350160805000052;1;58;0;0
350160805000053;1;85;0;0
350160805000054;1;87;0;0
350160805000055;1;67;0;0
350160805000056;1;61;0;0
350160805000057;1;76;0;0
350160805000058;1;92;0;0
350160805000059;1;80;0;0
350160805000060;1;69;0;0
350160805000061;1;80;0;0
350160805000062;1;179;0;0
350160805000063;1;91;0;0
350160805000064;1;64;0;0
350160805000065;1;66;0;0
350160805000066;1;68;0;0
350160805000067;1;81;0;0
350160805000068;1;127;1;1
350160805000069;1;93;0;0
350160805000070;1;108;0;0
350160805000071;1;106;0;0
350160805000072;1;94;0;0
350160805000073;1;141;1;0
350160805000074;1;79;0;0
350160805000075;1;69;0;0
350160805000076;1;35;0;0
350160805000077;1;80;0;0
350160805000078;1;72;0;0
350160805000079;1;68;0;3
350160805000080;1;73;0;3
350160805000081;1;51;0;0
350160805000082;1;57;0;1
350160805000083;1;35;0;0
350160805000084;1;112;0;0
350160805000085;1;48;0;0
350160805000086;1;74;0;0
350160805000087;1;142;0;0
350160805000088;1;58;0;0
350160805000089;1;86;0;0
350160805000090;1;59;0;0
350160805000091;1;71;0;0
350160805000092;1;44;0;0
350160805000093;1;40;0;0
350160805000094;1;67;0;0
350160805000095;1;57;0;0
350160805000096;1;65;0;0
350160805000097;1;118;0;0
350160805000098;1;88;0;0
350160805000099;1;100;0;0
350160805000100;1;171;0;0
350160805000101;1;106;0;0
350160805000102;1;174;0;0
350160805000103;1;117;0;0
350160805000104;1;167;0;0
350160805000105;1;111;0;0
350160805000106;1;173;0;0
350160805000107;1;218;0;0
350160805000108;1;101;0;0
350160805000109;1;63;0;0
350160805000110;1;100;0;0
350160805000111;1;5;0;0
350160805000112;1;137;0;0
350160805000113;1;78;0;3
350160805000114;1;89;1;0
350160805000115;1;75;0;0
350160805000116;1;93;0;0
350160805000117;1;72;0;0
350160805000118;1;101;0;0
350160805000119;1;109;0;0
350160805000120;1;132;0;0
350160805000121;1;59;0;0
350160805000122;1;106;0;0
350160805000123;1;61;0;0
350160805000124;1;98;0;0
350160805000125;1;80;0;0
350160805000126;1;80;0;0
350160805000127;1;92;0;0
350160805000128;1;99;0;0
350160805000129;1;88;0;0
350160805000130;1;191;0;0
350160805000131;1;107;0;0
350160805000132;1;141;0;0
350160805000133;1;130;0;0
350160805000134;1;115;0;0
350160805000135;1;69;0;0
350160805000136;1;51;0;0
350160805000137;1;70;0;0
350160805000138;1;168;0;0
350160805000139;1;267;0;0
350160805000140;1;370;2;0
350160805000141;1;93;0;0
350160805000142;1;144;1;0
350160805000143;1;197;0;0
350160805000144;1;75;0;0
350160805000145;1;102;0;0
350160805000146;1;51;0;0
350160805000147;1;107;0;0
350160805000148;1;68;0;0
350160805000149;1;62;0;0
350160805000150;1;50;1;0
350160805000151;1;82;0;0
350160805000152;1;62;0;0
350160805000153;1;90;0;0
350160805000154;1;77;0;0
350160805000155;1;58;0;0
350160805000156;1;58;0;0
350160805000157;1;148;0;0
350160805000158;1;125;0;0
350160805000159;1;90;0;0
350160805000160;1;81;0;0
350160805000161;1;79;0;0
350160805000162;1;121;0;0
350160805000163;1;62;1;0
350160805000164;1;94;0;0
350160805000165;1;114;0;0
350160805000166;1;120;0;0
350160805000167;1;117;0;0
350160805000168;1;77;0;0
350160805000169;1;66;0;0
350160805000170;1;82;0;0
350160805000171;1;107;0;0
350160805000172;1;39;0;0
350160805000173;1;213;0;0
350160805000174;1;79;1;0
350160805000175;1;81;0;0
350160805000176;1;78;1;0
350160805000177;1;112;0;0
350160805000178;1;109;0;0
350160805000179;1;229;0;0
350160805000180;1;119;0;0
350160805000181;1;185;0;0
350160805000182;1;103;0;0
350160805000183;1;121;1;0
350160805000184;1;118;0;0
350160805000185;1;103;0;0
350160805000186;1;111;0;0
350160805000187;1;190;0;0
350160805000188;1;99;0;0
350160805000189;1;84;0;0
350160805000190;1;118;0;0
350160805000191;1;127;0;0
350160805000192;1;475;0;0
350160805000193;1;180;0;0
350160805000194;1;180;0;0
350160805000195;1;95;0;0
350160805000196;1;135;0;0
350160805000197;1;155;0;0
350160805000198;1;100;0;0
350160805000199;1;72;0;0
350160805000200;1;138;0;0
350160805000201;1;110;0;0
350160805000202;1;95;0;0
350160805000203;1;120;0;0
350160805000204;1;176;0;0
350160805000205;1;158;1;2
350160805000206;1;103;0;0
350160805000207;1;86;0;0
350160805000208;1;122;0;0
