Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Pirituba;  167 931 ;  10 148 ;  10 566 ;  12 167 ;  7 210 ;  4 826 ;  14 289 ;Pirituba;  15 664 ;  14 743 ;  12 862 ;  24 326 ;  19 742 ;  11 707 ;  9 681 ;355030863;;;;;;;
Ponte Rasa;  93 894 ;  5 506 ;  5 922 ;  7 045 ;  4 082 ;  2 689 ;  8 049 ;Ponte Rasa;  8 566 ;  7 641 ;  6 840 ;  13 378 ;  11 347 ;  6 905 ;  5 924 ;355030864;;;;;;;
Raposo Tavares;  100 164 ;  6 963 ;  7 768 ;  8 236 ;  4 868 ;  3 073 ;  8 860 ;Raposo Tavares;  10 087 ;  9 858 ;  8 342 ;  13 216 ;  9 829 ;  5 814 ;  3 250 ;355030865;;;;;;;
República;  56 981 ;  2 396 ;  2 115 ;  2 243 ;  1 474 ;  1 362 ;  5 749 ;República;  7 064 ;  6 156 ;  5 137 ;  8 603 ;  6 735 ;  4 249 ;  3 698 ;355030866;;;;;;;
Rio Pequeno;  118 459 ;  7 287 ;  7 828 ;  8 604 ;  4 946 ;  3 494 ;  10 650 ;Rio Pequeno;  11 890 ;  11 092 ;  9 489 ;  16 866 ;  12 759 ;  7 493 ;  6 061 ;355030867;;;;;;;
Sacomã;  247 851 ;  15 661 ;  16 474 ;  18 292 ;  10 863 ;  7 217 ;  21 644 ;Sacomã;  24 517 ;  22 913 ;  19 940 ;  35 107 ;  26 863 ;  15 280 ;  13 080 ;355030868;;;;;;;
Santa Cecília;  83 717 ;  3 547 ;  3 316 ;  3 673 ;  2 303 ;  2 054 ;  7 328 ;Santa Cecília;  9 107 ;  8 157 ;  6 730 ;  12 171 ;  10 532 ;  7 087 ;  7 712 ;355030869;;;;;;;
Santana;  118 797 ;  4 969 ;  5 119 ;  6 161 ;  3 822 ;  2 976 ;  9 411 ;Santana;  10 742 ;  9 781 ;  8 525 ;  17 439 ;  16 798 ;  10 835 ;  12 219 ;355030870;;;;;;;
Santo Amaro;  71 560 ;  3 303 ;  3 351 ;  3 589 ;  2 159 ;  1 567 ;  4 681 ;Santo Amaro;  5 746 ;  6 049 ;  5 763 ;  10 748 ;  9 691 ;  7 281 ;  7 632 ;355030871;;;;;;;
São Domingos;  84 843 ;  5 222 ;  5 492 ;  6 164 ;  3 656 ;  2 428 ;  7 173 ;São Domingos;  7 871 ;  7 368 ;  6 603 ;  12 360 ;  9 543 ;  6 118 ;  4 845 ;355030895;;;;;;;
São Lucas;  142 347 ;  8 129 ;  8 383 ;  9 304 ;  5 595 ;  3 995 ;  11 821 ;São Lucas;  12 914 ;  11 948 ;  10 652 ;  20 895 ;  17 021 ;  11 073 ;  10 617 ;355030872;;;;;;;
São Mateus;  155 140 ;  10 004 ;  11 032 ;  13 100 ;  7 398 ;  4 913 ;  13 995 ;São Mateus;  14 663 ;  13 161 ;  12 050 ;  21 631 ;  16 451 ;  9 682 ;  7 060 ;355030873;;;;;;;
São Miguel;  92 081 ;  5 830 ;  6 331 ;  7 677 ;  4 503 ;  2 853 ;  8 398 ;São Miguel;  8 130 ;  7 336 ;  6 910 ;  13 133 ;  9 735 ;  5 975 ;  5 270 ;355030874;;;;;;;
São Rafael;  143 992 ;  11 054 ;  12 641 ;  14 173 ;  8 006 ;  4 907 ;  13 045 ;São Rafael;  13 192 ;  12 584 ;  11 749 ;  19 419 ;  12 328 ;  6 988 ;  3 906 ;355030875;;;;;;;
Sapopemba;  284 524 ;  19 074 ;  20 929 ;  24 099 ;  14 042 ;  9 293 ;  26 452 ;Sapopemba;  26 881 ;  24 196 ;  21 725 ;  39 153 ;  29 992 ;  17 178 ;  11 510 ;355030876;;;;;;;
Saúde;  130 780 ;  5 616 ;  5 332 ;  5 719 ;  3 680 ;  2 752 ;  9 574 ;Saúde;  12 764 ;  12 507 ;  10 181 ;  19 119 ;  18 243 ;  12 183 ;  13 110 ;355030877;;;;;;;
Sé;  23 651 ;  1 185 ;  1 430 ;  1 572 ;   901 ;   761 ;  2 556 ;Sé;  2 739 ;  2 550 ;  2 463 ;  3 333 ;  2 083 ;  1 185 ;   893 ;355030878;;;;;;;
Socorro;  37 783 ;  1 735 ;  1 990 ;  2 176 ;  1 344 ;   948 ;  2 841 ;Socorro;  3 347 ;  3 122 ;  2 903 ;  5 468 ;  4 888 ;  3 628 ;  3 393 ;355030879;;;;;;;
Tatuapé;  91 672 ;  3 985 ;  4 375 ;  4 959 ;  3 031 ;  2 322 ;  6 763 ;Tatuapé;  7 693 ;  7 571 ;  7 118 ;  14 450 ;  12 393 ;  7 774 ;  9 238 ;355030880;;;;;;;
Tremembé;  197 258 ;  13 229 ;  14 499 ;  17 105 ;  9 906 ;  6 466 ;  17 647 ;Tremembé;  18 113 ;  16 975 ;  15 852 ;  27 242 ;  20 096 ;  11 395 ;  8 733 ;355030881;;;;;;;
Tucuruvi;  98 438 ;  4 532 ;  4 770 ;  5 449 ;  3 379 ;  2 562 ;  7 955 ;Tucuruvi;  8 822 ;  8 193 ;  7 005 ;  13 845 ;  13 467 ;  8 790 ;  9 669 ;355030882;;;;;;;
Vila Andrade;  127 015 ;  10 105 ;  10 323 ;  10 877 ;  5 763 ;  4 002 ;  11 998 ;Vila Andrade;  12 675 ;  12 876 ;  11 601 ;  17 780 ;  10 607 ;  5 255 ;  3 153 ;355030883;;;;;;;
Vila Curuçá;  149 053 ;  10 499 ;  11 970 ;  14 231 ;  8 354 ;  4 979 ;  13 543 ;Vila Curuçá;  13 833 ;  12 433 ;  11 926 ;  20 051 ;  13 773 ;  8 053 ;  5 408 ;355030884;;;;;;;
Vila Formosa;  94 799 ;  4 818 ;  5 203 ;  6 222 ;  3 758 ;  2 522 ;  7 654 ;Vila Formosa;  8 080 ;  7 444 ;  6 718 ;  13 912 ;  12 440 ;  7 915 ;  8 113 ;355030885;;;;;;;
Vila Guilherme;  54 331 ;  2 880 ;  3 029 ;  3 376 ;  1 982 ;  1 371 ;  4 390 ;Vila Guilherme;  5 036 ;  4 883 ;  4 203 ;  7 388 ;  6 646 ;  4 352 ;  4 795 ;355030886;;;;;;;
Vila Jacuí;  142 372 ;  10 342 ;  11 110 ;  13 025 ;  7 706 ;  4 668 ;  13 635 ;Vila Jacuí;  13 656 ;  12 317 ;  10 966 ;  19 418 ;  14 087 ;  6 995 ;  4 447 ;355030887;;;;;;;
Vila Leopoldina;  39 485 ;  2 329 ;  2 093 ;  2 193 ;  1 297 ;   908 ;  2 925 ;Vila Leopoldina;  3 728 ;  4 331 ;  4 006 ;  6 176 ;  4 347 ;  2 506 ;  2 646 ;355030888;;;;;;;
Vila Maria;  113 463 ;  7 244 ;  7 775 ;  8 627 ;  5 211 ;  3 438 ;  10 573 ;Vila Maria;  11 281 ;  9 912 ;  8 515 ;  14 976 ;  11 707 ;  7 082 ;  7 122 ;355030889;;;;;;;
Vila Mariana;  130 484 ;  4 907 ;  4 657 ;  4 991 ;  3 271 ;  3 066 ;  10 528 ;Vila Mariana;  13 900 ;  12 415 ;  9 568 ;  18 070 ;  18 572 ;  12 737 ;  13 802 ;355030890;;;;;;;
Vila Matilde;  104 947 ;  5 794 ;  6 114 ;  7 082 ;  4 264 ;  2 907 ;  8 589 ;Vila Matilde;  9 221 ;  8 785 ;  7 893 ;  15 104 ;  12 908 ;  8 277 ;  8 009 ;355030891;;;;;;;
Vila Medeiros;  129 919 ;  7 717 ;  8 023 ;  9 255 ;  5 576 ;  3 778 ;  11 570 ;Vila Medeiros;  12 014 ;  10 598 ;  9 265 ;  17 518 ;  15 324 ;  9 745 ;  9 536 ;355030892;;;;;;;
Vila Prudente;  104 242 ;  5 433 ;  5 448 ;  6 295 ;  3 762 ;  2 793 ;  8 648 ;Vila Prudente;  9 554 ;  9 006 ;  7 681 ;  15 053 ;  13 189 ;  8 642 ;  8 738 ;355030893;;;;;;;
Vila Sônia;  108 441 ;  6 539 ;  6 753 ;  7 305 ;  4 339 ;  3 224 ;  9 447 ;Vila Sônia;  10 622 ;  10 232 ;  8 765 ;  14 928 ;  12 060 ;  7 690 ;  6 537 ;355030894;;;;;;;
São Pedro;  31 662 ;  1 903 ;  2 141 ;  2 586 ;  1 560 ;  1 015 ;  2 366 ;São Pedro;  2 524 ;  2 471 ;  2 336 ;  4 193 ;  3 565 ;  2 721 ;  2 281 ;3550407;;;;;;;
São Pedro;  31 662 ;  1 903 ;  2 141 ;  2 586 ;  1 560 ;  1 015 ;  2 366 ;São Pedro;  2 524 ;  2 471 ;  2 336 ;  4 193 ;  3 565 ;  2 721 ;  2 281 ;355040705;;;;;;;
São Pedro do Turvo;  7 198 ;   499 ;   561 ;   661 ;   391 ;   241 ;   556 ;São Pedro do Turvo;   576 ;   480 ;   507 ;   970 ;   768 ;   535 ;   453 ;3550506;;;;;;;
São Pedro do Turvo;  7 198 ;   499 ;   561 ;   661 ;   391 ;   241 ;   556 ;São Pedro do Turvo;   576 ;   480 ;   507 ;   970 ;   768 ;   535 ;   453 ;355050605;;;;;;;
São Roque;  78 821 ;  4 702 ;  5 391 ;  6 509 ;  3 762 ;  2 420 ;  6 552 ;São Roque;  6 766 ;  6 773 ;  5 930 ;  11 075 ;  9 024 ;  5 562 ;  4 355 ;3550605;;;;;;;
Canguera;  9 863 ;   638 ;   721 ;   950 ;   578 ;   310 ;   749 ;Canguera;   776 ;   808 ;   840 ;  1 379 ;  1 039 ;   633 ;   442 ;355060515;;;;;;;
Mailasqui;  10 713 ;   690 ;   719 ;   953 ;   545 ;   352 ;   953 ;Mailasqui;   943 ;   952 ;   837 ;  1 495 ;  1 130 ;   652 ;   492 ;355060517;;;;;;;
São João Novo;  8 043 ;   493 ;   644 ;   733 ;   406 ;   265 ;   665 ;São João Novo;   744 ;   668 ;   542 ;  1 050 ;   937 ;   516 ;   380 ;355060520;;;;;;;
São Roque;  50 202 ;  2 881 ;  3 307 ;  3 873 ;  2 233 ;  1 493 ;  4 185 ;São Roque;  4 303 ;  4 345 ;  3 711 ;  7 151 ;  5 918 ;  3 761 ;  3 041 ;355060505;;;;;;;
São Sebastião;  73 942 ;  5 577 ;  5 887 ;  6 622 ;  3 936 ;  2 404 ;  6 590 ;São Sebastião;  7 144 ;  7 060 ;  6 044 ;  9 843 ;  6 779 ;  3 572 ;  2 484 ;3550704;;;;;;;
Maresias;  31 184 ;  2 592 ;  2 812 ;  3 064 ;  1 678 ;  1 037 ;  2 945 ;Maresias;  3 198 ;  3 321 ;  2 748 ;  3 891 ;  2 220 ;  1 051 ;   627 ;355070410;;;;;;;
São Francisco da Praia;  18 587 ;  1 268 ;  1 361 ;  1 596 ;  1 036 ;   641 ;  1 532 ;São Francisco da Praia;  1 621 ;  1 572 ;  1 429 ;  2 594 ;  2 046 ;  1 125 ;   766 ;355070415;;;;;;;
São Sebastião;  24 171 ;  1 717 ;  1 714 ;  1 962 ;  1 222 ;   726 ;  2 113 ;São Sebastião;  2 325 ;  2 167 ;  1 867 ;  3 358 ;  2 513 ;  1 396 ;  1 091 ;355070405;;;;;;;
São Sebastião da Grama;  12 099 ;   761 ;   842 ;  1 009 ;   610 ;   409 ;  1 019 ;São Sebastião da Grama;  1 000 ;   942 ;   844 ;  1 673 ;  1 382 ;   858 ;   750 ;3550803;;;;;;;
São Sebastião da Grama;  12 099 ;   761 ;   842 ;  1 009 ;   610 ;   409 ;  1 019 ;São Sebastião da Grama;  1 000 ;   942 ;   844 ;  1 673 ;  1 382 ;   858 ;   750 ;355080305;;;;;;;
São Simão;  14 346 ;   901 ;  1 050 ;  1 167 ;   711 ;   448 ;  1 288 ;São Simão;  1 139 ;  1 101 ;   944 ;  1 939 ;  1 578 ;  1 081 ;   999 ;3550902;;;;;;;
São Simão;  14 346 ;   901 ;  1 050 ;  1 167 ;   711 ;   448 ;  1 288 ;São Simão;  1 139 ;  1 101 ;   944 ;  1 939 ;  1 578 ;  1 081 ;   999 ;355090205;;;;;;;
São Vicente;  332 445 ;  22 927 ;  24 357 ;  27 976 ;  16 668 ;  10 700 ;  28 162 ;São Vicente;  30 228 ;  28 291 ;  25 206 ;  45 024 ;  35 858 ;  20 969 ;  16 079 ;3551009;;;;;;;
São Vicente;  332 445 ;  22 927 ;  24 357 ;  27 976 ;  16 668 ;  10 700 ;  28 162 ;São Vicente;  30 228 ;  28 291 ;  25 206 ;  45 024 ;  35 858 ;  20 969 ;  16 079 ;355100905;;;;;;;
Sarapuí;  9 027 ;   624 ;   771 ;   866 ;   473 ;   295 ;   734 ;Sarapuí;   710 ;   743 ;   602 ;  1 178 ;   921 ;   613 ;   497 ;3551108;;;;;;;
Cocaes;  1 287 ;   74 ;   116 ;   139 ;   87 ;   35 ;   100 ;Cocaes;   89 ;   117 ;   86 ;   162 ;   128 ;   88 ;   66 ;355110815;;;;;;;
Sarapuí;  7 740 ;   550 ;   655 ;   727 ;   386 ;   260 ;   634 ;Sarapuí;   621 ;   626 ;   516 ;  1 016 ;   793 ;   525 ;   431 ;355110805;;;;;;;
Sarutaiá;  3 622 ;   250 ;   294 ;   310 ;   202 ;   134 ;   283 ;Sarutaiá;   264 ;   233 ;   238 ;   468 ;   412 ;   295 ;   239 ;3551207;;;;;;;
Sarutaiá;  3 622 ;   250 ;   294 ;   310 ;   202 ;   134 ;   283 ;Sarutaiá;   264 ;   233 ;   238 ;   468 ;   412 ;   295 ;   239 ;355120705;;;;;;;
Sebastianópolis do Sul;  3 031 ;   176 ;   150 ;   195 ;   132 ;   83 ;   252 ;Sebastianópolis do Sul;   285 ;   234 ;   217 ;   430 ;   395 ;   250 ;   232 ;3551306;;;;;;;
Sebastianópolis do Sul;  3 031 ;   176 ;   150 ;   195 ;   132 ;   83 ;   252 ;Sebastianópolis do Sul;   285 ;   234 ;   217 ;   430 ;   395 ;   250 ;   232 ;355130605;;;;;;;
Serra Azul;  11 256 ;   692 ;   767 ;   875 ;   482 ;   332 ;  1 247 ;Serra Azul;  1 264 ;  1 121 ;   913 ;  1 515 ;  1 017 ;   607 ;   424 ;3551405;;;;;;;
Serra Azul;  11 256 ;   692 ;   767 ;   875 ;   482 ;   332 ;  1 247 ;Serra Azul;  1 264 ;  1 121 ;   913 ;  1 515 ;  1 017 ;   607 ;   424 ;355140505;;;;;;;
Serra Negra;  26 387 ;  1 414 ;  1 622 ;  1 879 ;  1 161 ;   776 ;  1 969 ;Serra Negra;  2 087 ;  2 059 ;  2 002 ;  3 693 ;  3 227 ;  2 239 ;  2 259 ;3551603;;;;;;;
Serra Negra;  26 387 ;  1 414 ;  1 622 ;  1 879 ;  1 161 ;   776 ;  1 969 ;Serra Negra;  2 087 ;  2 059 ;  2 002 ;  3 693 ;  3 227 ;  2 239 ;  2 259 ;355160305;;;;;;;
Serrana;  38 878 ;  3 029 ;  3 049 ;  3 489 ;  2 125 ;  1 449 ;  3 889 ;Serrana;  3 865 ;  3 315 ;  2 963 ;  5 160 ;  3 419 ;  1 794 ;  1 332 ;3551504;;;;;;;
Serrana;  38 878 ;  3 029 ;  3 049 ;  3 489 ;  2 125 ;  1 449 ;  3 889 ;Serrana;  3 865 ;  3 315 ;  2 963 ;  5 160 ;  3 419 ;  1 794 ;  1 332 ;355150405;;;;;;;
Sertãozinho;  110 074 ;  7 275 ;  7 630 ;  8 692 ;  5 474 ;  3 640 ;  10 465 ;Sertãozinho;  10 892 ;  9 911 ;  8 386 ;  15 174 ;  11 325 ;  6 430 ;  4 780 ;3551702;;;;;;;
Cruz das Posses;  7 477 ;   544 ;   638 ;   740 ;   430 ;   299 ;   725 ;Cruz das Posses;   711 ;   657 ;   590 ;   986 ;   587 ;   309 ;   261 ;355170210;;;;;;;
Sertãozinho;  102 597 ;  6 731 ;  6 992 ;  7 952 ;  5 044 ;  3 341 ;  9 740 ;Sertãozinho;  10 181 ;  9 254 ;  7 796 ;  14 188 ;  10 738 ;  6 121 ;  4 519 ;355170205;;;;;;;
Sete Barras;  13 005 ;  1 062 ;  1 151 ;  1 314 ;   775 ;   428 ;   915 ;Sete Barras;   959 ;  1 000 ;   868 ;  1 544 ;  1 333 ;   969 ;   687 ;3551801;;;;;;;
Sete Barras;  13 005 ;  1 062 ;  1 151 ;  1 314 ;   775 ;   428 ;   915 ;Sete Barras;   959 ;  1 000 ;   868 ;  1 544 ;  1 333 ;   969 ;   687 ;355180105;;;;;;;
Severínia;  15 501 ;  1 130 ;  1 135 ;  1 389 ;   868 ;   501 ;  1 536 ;Severínia;  1 478 ;  1 237 ;  1 160 ;  2 094 ;  1 445 ;   832 ;   696 ;3551900;;;;;;;
Severínia;  15 501 ;  1 130 ;  1 135 ;  1 389 ;   868 ;   501 ;  1 536 ;Severínia;  1 478 ;  1 237 ;  1 160 ;  2 094 ;  1 445 ;   832 ;   696 ;355190005;;;;;;;
Silveiras;  5 792 ;   387 ;   473 ;   553 ;   271 ;   196 ;   508 ;Silveiras;   459 ;   441 ;   398 ;   739 ;   561 ;   453 ;   353 ;3552007;;;;;;;
Silveiras;  5 792 ;   387 ;   473 ;   553 ;   271 ;   196 ;   508 ;Silveiras;   459 ;   441 ;   398 ;   739 ;   561 ;   453 ;   353 ;355200705;;;;;;;
Socorro;  36 686 ;  2 034 ;  2 222 ;  2 541 ;  1 657 ;  1 093 ;  2 822 ;Socorro;  2 951 ;  2 805 ;  2 636 ;  5 120 ;  4 596 ;  3 252 ;  2 957 ;3552106;;;;;;;
Socorro;  36 686 ;  2 034 ;  2 222 ;  2 541 ;  1 657 ;  1 093 ;  2 822 ;Socorro;  2 951 ;  2 805 ;  2 636 ;  5 120 ;  4 596 ;  3 252 ;  2 957 ;355210605;;;;;;;
Sorocaba;  586 625 ;  36 509 ;  39 576 ;  47 438 ;  28 854 ;  19 377 ;  52 711 ;Sorocaba;  54 873 ;  51 281 ;  45 644 ;  82 846 ;  63 154 ;  35 649 ;  28 713 ;3552205;;;;;;;
Sorocaba;  586 625 ;  36 509 ;  39 576 ;  47 438 ;  28 854 ;  19 377 ;  52 711 ;Sorocaba;  54 873 ;  51 281 ;  45 644 ;  82 846 ;  63 154 ;  35 649 ;  28 713 ;355220505;;;;;;;
Sud Mennucci;  7 435 ;   480 ;   511 ;   603 ;   385 ;   244 ;   634 ;Sud Mennucci;   608 ;   634 ;   607 ;  1 016 ;   800 ;   518 ;   395 ;3552304;;;;;;;
Bandeirantes D'Oeste;  1 431 ;   90 ;   95 ;   121 ;   79 ;   43 ;   130 ;Bandeirantes D'Oeste;   101 ;   105 ;   112 ;   190 ;   153 ;   113 ;   99 ;355230410;;;;;;;
Sud Mennucci;  6 004 ;   390 ;   416 ;   482 ;   306 ;   201 ;   504 ;Sud Mennucci;   507 ;   529 ;   495 ;   826 ;   647 ;   405 ;   296 ;355230405;;;;;;;
Sumaré;  241 311 ;  17 356 ;  17 709 ;  20 291 ;  12 372 ;  8 246 ;  22 727 ;Sumaré;  24 072 ;  22 514 ;  19 577 ;  32 593 ;  23 650 ;  12 268 ;  7 936 ;3552403;;;;;;;
Nova Veneza;  140 774 ;  10 404 ;  10 748 ;  12 443 ;  7 551 ;  5 050 ;  13 842 ;Nova Veneza;  13 842 ;  12 824 ;  11 249 ;  18 563 ;  13 413 ;  6 750 ;  4 095 ;355240315;;;;;;;
Sumaré;  100 537 ;  6 952 ;  6 961 ;  7 848 ;  4 821 ;  3 196 ;  8 885 ;Sumaré;  10 230 ;  9 690 ;  8 328 ;  14 030 ;  10 237 ;  5 518 ;  3 841 ;355240305;;;;;;;
Suzanápolis;  3 383 ;   218 ;   246 ;   271 ;   159 ;   130 ;   273 ;Suzanápolis;   256 ;   254 ;   215 ;   508 ;   369 ;   266 ;   218 ;3552551;;;;;;;
Suzanápolis;  3 383 ;   218 ;   246 ;   271 ;   159 ;   130 ;   273 ;Suzanápolis;   256 ;   254 ;   215 ;   508 ;   369 ;   266 ;   218 ;355255105;;;;;;;
Suzano;  262 480 ;  18 781 ;  21 047 ;  25 525 ;  14 384 ;  9 060 ;  23 231 ;Suzano;  23 382 ;  22 304 ;  20 426 ;  35 711 ;  25 780 ;  13 891 ;  8 958 ;3552502;;;;;;;
Boa Vista Paulista;  82 811 ;  6 660 ;  7 450 ;  8 791 ;  5 090 ;  3 036 ;  7 607 ;Boa Vista Paulista;  7 536 ;  7 090 ;  6 398 ;  10 847 ;  7 185 ;  3 265 ;  1 856 ;355250210;;;;;;;
Palmeiras de São Paulo;  23 865 ;  1 773 ;  1 953 ;  2 488 ;  1 394 ;   842 ;  2 023 ;Palmeiras de São Paulo;  2 025 ;  1 882 ;  1 744 ;  3 120 ;  2 298 ;  1 394 ;   929 ;355250215;;;;;;;
Suzano;  155 804 ;  10 348 ;  11 644 ;  14 246 ;  7 900 ;  5 182 ;  13 601 ;Suzano;  13 821 ;  13 332 ;  12 284 ;  21 744 ;  16 297 ;  9 232 ;  6 173 ;355250205;;;;;;;
Tabapuã;  11 363 ;   683 ;   645 ;   759 ;   488 ;   381 ;   980 ;Tabapuã;  1 003 ;   880 ;   820 ;  1 637 ;  1 308 ;   929 ;   850 ;3552601;;;;;;;
Tabapuã;  11 363 ;   683 ;   645 ;   759 ;   488 ;   381 ;   980 ;Tabapuã;  1 003 ;   880 ;   820 ;  1 637 ;  1 308 ;   929 ;   850 ;355260105;;;;;;;
Tabatinga;  14 686 ;   955 ;  1 063 ;  1 178 ;   705 ;   501 ;  1 407 ;Tabatinga;  1 424 ;  1 148 ;  1 050 ;  1 985 ;  1 558 ;   904 ;   808 ;3552700;;;;;;;
Curupá;  2 249 ;   126 ;   164 ;   201 ;   94 ;   72 ;   228 ;Curupá;   197 ;   187 ;   171 ;   283 ;   265 ;   155 ;   106 ;355270010;;;;;;;
Tabatinga;  12 437 ;   829 ;   899 ;   977 ;   611 ;   429 ;  1 179 ;Tabatinga;  1 227 ;   961 ;   879 ;  1 702 ;  1 293 ;   749 ;   702 ;355270005;;;;;;;
Taboão da Serra;  244 528 ;  17 982 ;  18 797 ;  21 786 ;  12 274 ;  7 949 ;  22 692 ;Taboão da Serra;  24 081 ;  23 074 ;  19 992 ;  33 501 ;  23 058 ;  12 110 ;  7 232 ;3552809;;;;;;;
Taboão da Serra;  244 528 ;  17 982 ;  18 797 ;  21 786 ;  12 274 ;  7 949 ;  22 692 ;Taboão da Serra;  24 081 ;  23 074 ;  19 992 ;  33 501 ;  23 058 ;  12 110 ;  7 232 ;355280905;;;;;;;
Taciba;  5 714 ;   376 ;   412 ;   488 ;   301 ;   195 ;   453 ;Taciba;   448 ;   435 ;   446 ;   856 ;   558 ;   373 ;   373 ;3552908;;;;;;;
Taciba;  5 714 ;   376 ;   412 ;   488 ;   301 ;   195 ;   453 ;Taciba;   448 ;   435 ;   446 ;   856 ;   558 ;   373 ;   373 ;355290805;;;;;;;
Taguaí;  10 828 ;   823 ;   786 ;   925 ;   599 ;   450 ;  1 145 ;Taguaí;  1 017 ;   837 ;   731 ;  1 341 ;  1 052 ;   630 ;   492 ;3553005;;;;;;;
Taguaí;  10 828 ;   823 ;   786 ;   925 ;   599 ;   450 ;  1 145 ;Taguaí;  1 017 ;   837 ;   731 ;  1 341 ;  1 052 ;   630 ;   492 ;355300505;;;;;;;
Taiaçu;  5 894 ;   355 ;   409 ;   513 ;   351 ;   166 ;   527 ;Taiaçu;   474 ;   415 ;   442 ;   804 ;   561 ;   434 ;   443 ;3553104;;;;;;;
Taiaçu;  5 894 ;   355 ;   409 ;   513 ;   351 ;   166 ;   527 ;Taiaçu;   474 ;   415 ;   442 ;   804 ;   561 ;   434 ;   443 ;355310405;;;;;;;
Taiúva;  5 447 ;   286 ;   317 ;   372 ;   280 ;   171 ;   474 ;Taiúva;   434 ;   384 ;   365 ;   769 ;   678 ;   446 ;   471 ;3553203;;;;;;;
Taiúva;  5 447 ;   286 ;   317 ;   372 ;   280 ;   171 ;   474 ;Taiúva;   434 ;   384 ;   365 ;   769 ;   678 ;   446 ;   471 ;355320305;;;;;;;
Tambaú;  22 406 ;  1 466 ;  1 569 ;  1 785 ;  1 163 ;   759 ;  1 916 ;Tambaú;  1 835 ;  1 656 ;  1 546 ;  3 093 ;  2 555 ;  1 618 ;  1 445 ;3553302;;;;;;;
Tambaú;  22 406 ;  1 466 ;  1 569 ;  1 785 ;  1 163 ;   759 ;  1 916 ;Tambaú;  1 835 ;  1 656 ;  1 546 ;  3 093 ;  2 555 ;  1 618 ;  1 445 ;355330205;;;;;;;
Tanabi;  24 055 ;  1 296 ;  1 366 ;  1 676 ;  1 002 ;   748 ;  2 007 ;Tanabi;  2 096 ;  1 850 ;  1 687 ;  3 553 ;  2 939 ;  2 044 ;  1 791 ;3553401;;;;;;;
Ibiporanga;   868 ;   42 ;   44 ;   59 ;   32 ;   28 ;   58 ;Ibiporanga;   57 ;   58 ;   64 ;   154 ;   111 ;   94 ;   67 ;355340110;;;;;;;
Tanabi;  23 187 ;  1 254 ;  1 322 ;  1 617 ;   970 ;   720 ;  1 949 ;Tanabi;  2 039 ;  1 792 ;  1 623 ;  3 399 ;  2 828 ;  1 950 ;  1 724 ;355340105;;;;;;;
Tapiraí;  8 012 ;   621 ;   752 ;   911 ;   471 ;   256 ;   592 ;Tapiraí;   603 ;   615 ;   533 ;   961 ;   716 ;   585 ;   396 ;3553500;;;;;;;
Tapiraí;  8 012 ;   621 ;   752 ;   911 ;   471 ;   256 ;   592 ;Tapiraí;   603 ;   615 ;   533 ;   961 ;   716 ;   585 ;   396 ;355350005;;;;;;;
Tapiratiba;  12 737 ;   722 ;   830 ;  1 097 ;   761 ;   448 ;  1 082 ;Tapiratiba;   937 ;   890 ;   871 ;  1 972 ;  1 432 ;   874 ;   821 ;3553609;;;;;;;
Tapiratiba;  12 737 ;   722 ;   830 ;  1 097 ;   761 ;   448 ;  1 082 ;Tapiratiba;   937 ;   890 ;   871 ;  1 972 ;  1 432 ;   874 ;   821 ;355360905;;;;;;;
Taquaral;  2 726 ;   156 ;   210 ;   220 ;   131 ;   90 ;   234 ;Taquaral;   216 ;   224 ;   194 ;   358 ;   313 ;   209 ;   171 ;3553658;;;;;;;
Taquaral;  2 726 ;   156 ;   210 ;   220 ;   131 ;   90 ;   234 ;Taquaral;   216 ;   224 ;   194 ;   358 ;   313 ;   209 ;   171 ;355365805;;;;;;;
Taquaritinga;  53 988 ;  3 388 ;  3 695 ;  4 229 ;  2 648 ;  1 697 ;  4 601 ;Taquaritinga;  4 572 ;  4 290 ;  3 956 ;  7 576 ;  5 855 ;  3 924 ;  3 557 ;3553708;;;;;;;
