Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Bragança Paulista;  498 171 ;  30 857 ;  34 351 ;  40 776 ;  24 716 ;  15 817 ;  43 132 ;Bragança Paulista;  43 903 ;  42 068 ;  38 312 ;  68 678 ;  53 598 ;  34 127 ;  27 836 ;35048;;;;;;;
Campinas; 2 630 893 ;  164 035 ;  171 297 ;  200 875 ;  123 932 ;  84 960 ;  238 959 ;Campinas;  250 764 ;  233 845 ;  208 085 ;  377 207 ;  286 352 ;  162 594 ;  127 988 ;35032;;;;;;;
Campos do Jordão;  68 863 ;  4 644 ;  5 266 ;  6 340 ;  3 759 ;  2 363 ;  5 700 ;Campos do Jordão;  5 618 ;  5 618 ;  5 350 ;  9 829 ;  7 018 ;  4 198 ;  3 160 ;35049;;;;;;;
Capão Bonito;  135 067 ;  9 853 ;  11 817 ;  14 308 ;  8 240 ;  4 647 ;  10 523 ;Capão Bonito;  10 401 ;  10 221 ;  9 749 ;  16 888 ;  12 731 ;  8 841 ;  6 848 ;35044;;;;;;;
Caraguatatuba;  281 779 ;  20 435 ;  22 080 ;  25 622 ;  15 101 ;  9 025 ;  24 162 ;Caraguatatuba;  25 290 ;  25 227 ;  22 478 ;  37 495 ;  27 522 ;  16 225 ;  11 117 ;35054;;;;;;;
Catanduva;  221 465 ;  13 414 ;  13 510 ;  16 093 ;  10 312 ;  7 142 ;  19 532 ;Catanduva;  20 062 ;  17 973 ;  16 505 ;  31 229 ;  24 624 ;  16 024 ;  15 045 ;35005;;;;;;;
Dracena;  116 149 ;  6 463 ;  7 071 ;  8 376 ;  5 438 ;  3 501 ;  9 482 ;Dracena;  9 569 ;  9 145 ;  8 606 ;  16 457 ;  13 719 ;  9 486 ;  8 836 ;35034;;;;;;;
Fernandópolis;  104 623 ;  5 467 ;  6 216 ;  7 455 ;  4 716 ;  3 294 ;  8 314 ;Fernandópolis;  8 290 ;  7 934 ;  7 664 ;  15 401 ;  13 015 ;  8 933 ;  7 924 ;35002;;;;;;;
Franca;  386 704 ;  25 966 ;  28 473 ;  32 496 ;  20 015 ;  13 358 ;  34 691 ;Franca;  32 843 ;  30 594 ;  28 609 ;  54 136 ;  41 271 ;  25 121 ;  19 131 ;35012;;;;;;;
Franco da Rocha;  453 561 ;  33 805 ;  37 038 ;  43 806 ;  25 367 ;  15 869 ;  42 510 ;Franco da Rocha;  42 537 ;  39 563 ;  34 996 ;  59 787 ;  43 561 ;  22 218 ;  12 504 ;35058;;;;;;;
