Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;;;;
Tabela 4.20.1.1 - População residente, por situação do domicílio e sexo, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;;;Código da Unidade Geográfica;;;;;;;;
;Total                                                                           ;Homens                                                                          ;Mulheres                                                                        ;Situação do domicílio e sexo;;;;;;;;;;;;;;
;;;;Urbana                                                                          ;;;Rural                                                                         ;;;;;;;;;;;
;;;;Total;Homens                                                                          ;Mulheres                                                                        ;Total;Homens                                                                          ;Mulheres                                                                        ;;;;;;;;;
Serpa;  24 777 ;  12 202 ;  12 575 ;  24 777 ;  12 202 ;  12 575 ;- ;- ;- ;3509007010;;;;;;;;
Vera Tereza;  10 985 ;  5 363 ;  5 622 ;  10 985 ;  5 363 ;  5 622 ;- ;- ;- ;3509007011;;;;;;;;
Vila Rosina;  8 202 ;  4 039 ;  4 163 ;  8 202 ;  4 039 ;  4 163 ;- ;- ;- ;3509007012;;;;;;;;
Catanduva;  112 820 ;  54 776 ;  58 044 ;  111 914 ;  54 307 ;  57 607 ;   906 ;   469 ;   437 ;3511102;;;;;;;;
Altos do Higienópolis;   399 ;   203 ;   196 ;   399 ;   203 ;   196 ;- ;- ;- ;3511102097;;;;;;;;
Bairro do Km Sete;   87 ;   45 ;   42 ;   87 ;   45 ;   42 ;- ;- ;- ;3511102019;;;;;;;;
Cecap (Conjunto Habitacional José A. Borelli);   284 ;   139 ;   145 ;   284 ;   139 ;   145 ;- ;- ;- ;3511102023;;;;;;;;
Centro;  5 211 ;  2 245 ;  2 966 ;  5 211 ;  2 245 ;  2 966 ;- ;- ;- ;3511102001;;;;;;;;
Conjunto Antônio Mastrocola;  1 399 ;   678 ;   721 ;  1 399 ;   678 ;   721 ;- ;- ;- ;3511102065;;;;;;;;
Conjunto Habitacional Ângelo Gavioli;  1 599 ;   746 ;   853 ;  1 599 ;   746 ;   853 ;- ;- ;- ;3511102107;;;;;;;;
Conjunto Habitacional Antônio Zaccaro;  1 946 ;   937 ;  1 009 ;  1 946 ;   937 ;  1 009 ;- ;- ;- ;3511102027;;;;;;;;
Conjunto Habitacional Euclides Figueiredo;  2 806 ;  1 366 ;  1 440 ;  2 806 ;  1 366 ;  1 440 ;- ;- ;- ;3511102030;;;;;;;;
Conjunto Habitacional Gabriel Hernandes;  1 418 ;   740 ;   678 ;  1 418 ;   740 ;   678 ;- ;- ;- ;3511102068;;;;;;;;
Conjunto Habitacional Nair de Freitas;   398 ;   200 ;   198 ;   398 ;   200 ;   198 ;- ;- ;- ;3511102103;;;;;;;;
Conjunto Habitacional Pedro Luis Boso/Manoel;   405 ;   192 ;   213 ;   405 ;   192 ;   213 ;- ;- ;- ;3511102079;;;;;;;;
Conjunto Habitacional Pedro Nechar;   415 ;   205 ;   210 ;   415 ;   205 ;   210 ;- ;- ;- ;3511102078;;;;;;;;
Conjunto Habitacional Prefeito João Righini;   700 ;   368 ;   332 ;   700 ;   368 ;   332 ;- ;- ;- ;3511102102;;;;;;;;
Distrito Industrial Antônio Zaccaro;   43 ;   23 ;   20 ;   43 ;   23 ;   20 ;- ;- ;- ;3511102067;;;;;;;;
Distrito Industrial José Antônio Boso;   27 ;   14 ;   13 ;   27 ;   14 ;   13 ;- ;- ;- ;3511102062;;;;;;;;
Distrito Industrial Pedro Luis Boso;   45 ;   27 ;   18 ;   45 ;   27 ;   18 ;- ;- ;- ;3511102105;;;;;;;;
Expansão 1;   48 ;   23 ;   25 ;   48 ;   23 ;   25 ;- ;- ;- ;3511102108;;;;;;;;
Expansão 2;   98 ;   56 ;   42 ;   98 ;   56 ;   42 ;- ;- ;- ;3511102109;;;;;;;;
Expansão 3;   258 ;   133 ;   125 ;   258 ;   133 ;   125 ;- ;- ;- ;3511102110;;;;;;;;
Granville I;   109 ;   49 ;   60 ;   109 ;   49 ;   60 ;- ;- ;- ;3511102012;;;;;;;;
Granville II;   36 ;   21 ;   15 ;   36 ;   21 ;   15 ;- ;- ;- ;3511102013;;;;;;;;
Higienópolis;  2 507 ;  1 102 ;  1 405 ;  2 507 ;  1 102 ;  1 405 ;- ;- ;- ;3511102057;;;;;;;;
Jardim Alpino;   151 ;   83 ;   68 ;   151 ;   83 ;   68 ;- ;- ;- ;3511102016;;;;;;;;
Jardim Alvorada;   73 ;   35 ;   38 ;   73 ;   35 ;   38 ;- ;- ;- ;3511102070;;;;;;;;
Jardim Amêndola;  2 328 ;  1 125 ;  1 203 ;  2 328 ;  1 125 ;  1 203 ;- ;- ;- ;3511102007;;;;;;;;
Jardim América;   978 ;   485 ;   493 ;   978 ;   485 ;   493 ;- ;- ;- ;3511102025;;;;;;;;
Jardim Bela Vista;  3 289 ;  1 595 ;  1 694 ;  3 289 ;  1 595 ;  1 694 ;- ;- ;- ;3511102043;;;;;;;;
Jardim Belém;   755 ;   340 ;   415 ;   755 ;   340 ;   415 ;- ;- ;- ;3511102093;;;;;;;;
Jardim Bom Pastor;  4 963 ;  2 529 ;  2 434 ;  4 963 ;  2 529 ;  2 434 ;- ;- ;- ;3511102028;;;;;;;;
Jardim Brasil;  1 304 ;   585 ;   719 ;  1 304 ;   585 ;   719 ;- ;- ;- ;3511102090;;;;;;;;
Jardim Caparroz;   429 ;   204 ;   225 ;   429 ;   204 ;   225 ;- ;- ;- ;3511102046;;;;;;;;
Jardim Clélia;   55 ;   25 ;   30 ;   55 ;   25 ;   30 ;- ;- ;- ;3511102008;;;;;;;;
Jardim da Torre;   75 ;   34 ;   41 ;   75 ;   34 ;   41 ;- ;- ;- ;3511102084;;;;;;;;
Jardim Del Rey;  1 061 ;   525 ;   536 ;  1 061 ;   525 ;   536 ;- ;- ;- ;3511102006;;;;;;;;
Jardim do Bosque;   774 ;   365 ;   409 ;   774 ;   365 ;   409 ;- ;- ;- ;3511102045;;;;;;;;
Jardim do Lago;   571 ;   270 ;   301 ;   571 ;   270 ;   301 ;- ;- ;- ;3511102075;;;;;;;;
Jardim dos Coqueiros;   153 ;   75 ;   78 ;   153 ;   75 ;   78 ;- ;- ;- ;3511102017;;;;;;;;
Jardim dos Coqueiros II;   154 ;   74 ;   80 ;   154 ;   74 ;   80 ;- ;- ;- ;3511102018;;;;;;;;
Jardim Eldorado;  1 169 ;   577 ;   592 ;  1 169 ;   577 ;   592 ;- ;- ;- ;3511102099;;;;;;;;
Jardim Esperança;   255 ;   129 ;   126 ;   255 ;   129 ;   126 ;- ;- ;- ;3511102049;;;;;;;;
Jardim Imperial;  2 678 ;  1 412 ;  1 266 ;  2 678 ;  1 412 ;  1 266 ;- ;- ;- ;3511102069;;;;;;;;
Jardim Ipanema;   471 ;   229 ;   242 ;   471 ;   229 ;   242 ;- ;- ;- ;3511102061;;;;;;;;
Jardim Irradiação;   25 ;   11 ;   14 ;   25 ;   11 ;   14 ;- ;- ;- ;3511102077;;;;;;;;
Jardim Júlia Caparroz;   190 ;   100 ;   90 ;   190 ;   100 ;   90 ;- ;- ;- ;3511102048;;;;;;;;
Jardim Monte Líbano;  1 193 ;   625 ;   568 ;  1 193 ;   625 ;   568 ;- ;- ;- ;3511102020;;;;;;;;
Jardim Moreschi;   525 ;   256 ;   269 ;   525 ;   256 ;   269 ;- ;- ;- ;3511102033;;;;;;;;
Jardim Nações Unidas;   111 ;   47 ;   64 ;   111 ;   47 ;   64 ;- ;- ;- ;3511102089;;;;;;;;
Jardim Oriental;   174 ;   108 ;   66 ;   174 ;   108 ;   66 ;- ;- ;- ;3511102086;;;;;;;;
Jardim Pedro Borgonovi;   371 ;   183 ;   188 ;   371 ;   183 ;   188 ;- ;- ;- ;3511102050;;;;;;;;
Jardim Primavera;   212 ;   98 ;   114 ;   212 ;   98 ;   114 ;- ;- ;- ;3511102014;;;;;;;;
Jardim Salles;  1 991 ;  1 003 ;   988 ;  1 991 ;  1 003 ;   988 ;- ;- ;- ;3511102054;;;;;;;;
Jardim Santa Helena;   329 ;   164 ;   165 ;   329 ;   164 ;   165 ;- ;- ;- ;3511102088;;;;;;;;
Jardim Santa Rosa;  1 196 ;   588 ;   608 ;  1 196 ;   588 ;   608 ;- ;- ;- ;3511102031;;;;;;;;
Jardim São Domingos;  1 221 ;   597 ;   624 ;  1 221 ;   597 ;   624 ;- ;- ;- ;3511102029;;;;;;;;
Jardim Shangri-lá;   80 ;   39 ;   41 ;   80 ;   39 ;   41 ;- ;- ;- ;3511102071;;;;;;;;
Jardim Soto;  3 975 ;  1 927 ;  2 048 ;  3 975 ;  1 927 ;  2 048 ;- ;- ;- ;3511102022;;;;;;;;
Jardim Tarraf II;   635 ;   307 ;   328 ;   635 ;   307 ;   328 ;- ;- ;- ;3511102052;;;;;;;;
Jardim Vertoni;  1 064 ;   521 ;   543 ;  1 064 ;   521 ;   543 ;- ;- ;- ;3511102034;;;;;;;;
Loteamento Miguel Elias;   77 ;   38 ;   39 ;   77 ;   38 ;   39 ;- ;- ;- ;3511102011;;;;;;;;
Morada dos Executivos;   223 ;   113 ;   110 ;   223 ;   113 ;   110 ;- ;- ;- ;3511102083;;;;;;;;
Morada dos Pássaros;   33 ;   16 ;   17 ;   33 ;   16 ;   17 ;- ;- ;- ;3511102098;;;;;;;;
Nosso Teto;   796 ;   379 ;   417 ;   796 ;   379 ;   417 ;- ;- ;- ;3511102036;;;;;;;;
Nova Catanduva;   721 ;   346 ;   375 ;   721 ;   346 ;   375 ;- ;- ;- ;3511102035;;;;;;;;
Parque Flamingo;  3 038 ;  1 492 ;  1 546 ;  3 038 ;  1 492 ;  1 546 ;- ;- ;- ;3511102064;;;;;;;;
Parque Glória I;   965 ;   470 ;   495 ;   965 ;   470 ;   495 ;- ;- ;- ;3511102037;;;;;;;;
Parque Glória II;   840 ;   405 ;   435 ;   840 ;   405 ;   435 ;- ;- ;- ;3511102038;;;;;;;;
Parque Glória III;  1 186 ;   578 ;   608 ;  1 186 ;   578 ;   608 ;- ;- ;- ;3511102039;;;;;;;;
Parque Glória IV;  1 370 ;   647 ;   723 ;  1 370 ;   647 ;   723 ;- ;- ;- ;3511102040;;;;;;;;
Parque Glória V;  1 137 ;   588 ;   549 ;  1 137 ;   588 ;   549 ;- ;- ;- ;3511102041;;;;;;;;
Parque Glória VI;  1 145 ;   571 ;   574 ;  1 145 ;   571 ;   574 ;- ;- ;- ;3511102042;;;;;;;;
Parque Ipiranga;   109 ;   59 ;   50 ;   109 ;   59 ;   50 ;- ;- ;- ;3511102063;;;;;;;;
Parque Iracema;  3 483 ;  1 664 ;  1 819 ;  3 483 ;  1 664 ;  1 819 ;- ;- ;- ;3511102002;;;;;;;;
Parque Joaquim Lopes;   183 ;   98 ;   85 ;   183 ;   98 ;   85 ;- ;- ;- ;3511102009;;;;;;;;
Parque Residencial Agudo Romão;  1 370 ;   674 ;   696 ;  1 370 ;   674 ;   696 ;- ;- ;- ;3511102005;;;;;;;;
Polo Coml. e Indl. Raul de Carvalho;   121 ;   66 ;   55 ;   121 ;   66 ;   55 ;- ;- ;- ;3511102085;;;;;;;;
Polo Industrial Giordano Mestrinelli;   203 ;   105 ;   98 ;   203 ;   105 ;   98 ;- ;- ;- ;3511102066;;;;;;;;
Residencial Agudo Romão 2;   527 ;   253 ;   274 ;   527 ;   253 ;   274 ;- ;- ;- ;3511102104;;;;;;;;
Residencial Cidade Jardim;  2 834 ;  1 442 ;  1 392 ;  2 834 ;  1 442 ;  1 392 ;- ;- ;- ;3511102076;;;;;;;;
Residencial Colina do Sol;   884 ;   432 ;   452 ;   884 ;   432 ;   452 ;- ;- ;- ;3511102047;;;;;;;;
Residencial Diolfen Martani;  1 768 ;   848 ;   920 ;  1 768 ;   848 ;   920 ;- ;- ;- ;3511102074;;;;;;;;
Residencial Esplanada;   685 ;   320 ;   365 ;   685 ;   320 ;   365 ;- ;- ;- ;3511102106;;;;;;;;
Residencial Isabela;   460 ;   228 ;   232 ;   460 ;   228 ;   232 ;- ;- ;- ;3511102092;;;;;;;;
Residencial Juliatti de Carvalho;   607 ;   295 ;   312 ;   607 ;   295 ;   312 ;- ;- ;- ;3511102081;;;;;;;;
Residencial Maria Luiza Peres de Faria;   570 ;   283 ;   287 ;   570 ;   283 ;   287 ;- ;- ;- ;3511102051;;;;;;;;
Residencial Pacha;  1 500 ;   745 ;   755 ;  1 500 ;   745 ;   755 ;- ;- ;- ;3511102100;;;;;;;;
Residencial Paraíso;  1 694 ;   835 ;   859 ;  1 694 ;   835 ;   859 ;- ;- ;- ;3511102021;;;;;;;;
Residencial Pedro Monteleone;   504 ;   262 ;   242 ;   504 ;   262 ;   242 ;- ;- ;- ;3511102010;;;;;;;;
Residencial Primavera;   291 ;   143 ;   148 ;   291 ;   143 ;   148 ;- ;- ;- ;3511102094;;;;;;;;
Residencial San Remo;   266 ;   130 ;   136 ;   266 ;   130 ;   136 ;- ;- ;- ;3511102087;;;;;;;;
Residencial Santa Paula;   656 ;   324 ;   332 ;   656 ;   324 ;   332 ;- ;- ;- ;3511102072;;;;;;;;
Residencial Sebastião Moraes;   684 ;   342 ;   342 ;   684 ;   342 ;   342 ;- ;- ;- ;3511102082;;;;;;;;
São Francisco;  4 130 ;  1 983 ;  2 147 ;  4 130 ;  1 983 ;  2 147 ;- ;- ;- ;3511102044;;;;;;;;
Solo Sagrado;  4 495 ;  2 147 ;  2 348 ;  4 495 ;  2 147 ;  2 348 ;- ;- ;- ;3511102026;;;;;;;;
Vila Alexandria;   606 ;   294 ;   312 ;   606 ;   294 ;   312 ;- ;- ;- ;3511102032;;;;;;;;
Vila Bela;  1 132 ;   562 ;   570 ;  1 132 ;   562 ;   570 ;- ;- ;- ;3511102053;;;;;;;;
Vila Celso Mouad;  1 681 ;   793 ;   888 ;  1 681 ;   793 ;   888 ;- ;- ;- ;3511102024;;;;;;;;
Vila Engracia;   430 ;   204 ;   226 ;   430 ;   204 ;   226 ;- ;- ;- ;3511102073;;;;;;;;
Vila Guzzo;   432 ;   203 ;   229 ;   432 ;   203 ;   229 ;- ;- ;- ;3511102059;;;;;;;;
Vila Industrial;   81 ;   35 ;   46 ;   81 ;   35 ;   46 ;- ;- ;- ;3511102015;;;;;;;;
Vila Jorge;  1 146 ;   539 ;   607 ;  1 146 ;   539 ;   607 ;- ;- ;- ;3511102055;;;;;;;;
Vila Juca Pedro;   659 ;   321 ;   338 ;   659 ;   321 ;   338 ;- ;- ;- ;3511102091;;;;;;;;
Vila Lunardelli;  1 621 ;   763 ;   858 ;  1 621 ;   763 ;   858 ;- ;- ;- ;3511102080;;;;;;;;
Vila Maria Jorge;  1 210 ;   582 ;   628 ;  1 210 ;   582 ;   628 ;- ;- ;- ;3511102096;;;;;;;;
Vila Mota;  2 918 ;  1 405 ;  1 513 ;  2 918 ;  1 405 ;  1 513 ;- ;- ;- ;3511102056;;;;;;;;
Vila Paulista;   872 ;   441 ;   431 ;   872 ;   441 ;   431 ;- ;- ;- ;3511102060;;;;;;;;
Vila Rodrigues;   974 ;   445 ;   529 ;   974 ;   445 ;   529 ;- ;- ;- ;3511102003;;;;;;;;
Vila Santo Antônio;  2 382 ;  1 118 ;  1 264 ;  2 382 ;  1 118 ;  1 264 ;- ;- ;- ;3511102004;;;;;;;;
Vila São Luís;   316 ;   159 ;   157 ;   316 ;   159 ;   157 ;- ;- ;- ;3511102058;;;;;;;;
Vila Stocco;   494 ;   240 ;   254 ;   494 ;   240 ;   254 ;- ;- ;- ;3511102095;;;;;;;;
Zé Povão;   189 ;   100 ;   89 ;   189 ;   100 ;   89 ;- ;- ;- ;3511102101;;;;;;;;
Cubatão;  118 720 ;  59 229 ;  59 491 ;  118 720 ;  59 229 ;  59 491 ;- ;- ;- ;3513504;;;;;;;;
Centro;   972 ;   552 ;   420 ;   972 ;   552 ;   420 ;- ;- ;- ;3513504005;;;;;;;;
Cota 200;  5 414 ;  2 711 ;  2 703 ;  5 414 ;  2 711 ;  2 703 ;- ;- ;- ;3513504019;;;;;;;;
Cruzeiro Quinhentista;   451 ;   215 ;   236 ;   451 ;   215 ;   236 ;- ;- ;- ;3513504039;;;;;;;;
Guará-Vermelho;   65 ;   34 ;   31 ;   65 ;   34 ;   31 ;- ;- ;- ;3513504030;;;;;;;;
Ilha Caraguatá;  5 529 ;  2 722 ;  2 807 ;  5 529 ;  2 722 ;  2 807 ;- ;- ;- ;3513504014;;;;;;;;
Itutinga-Pilões;  4 875 ;  2 469 ;  2 406 ;  4 875 ;  2 469 ;  2 406 ;- ;- ;- ;3513504020;;;;;;;;
Jardim Anchieta;  5 947 ;  2 971 ;  2 976 ;  5 947 ;  2 971 ;  2 976 ;- ;- ;- ;3513504003;;;;;;;;
Jardim Casqueiro;  10 241 ;  4 935 ;  5 306 ;  10 241 ;  4 935 ;  5 306 ;- ;- ;- ;3513504013;;;;;;;;
Jardim Nova República;  5 889 ;  2 914 ;  2 975 ;  5 889 ;  2 914 ;  2 975 ;- ;- ;- ;3513504011;;;;;;;;
Jardim São Francisco;  2 818 ;  1 473 ;  1 345 ;  2 818 ;  1 473 ;  1 345 ;- ;- ;- ;3513504004;;;;;;;;
Marzagão;   420 ;   227 ;   193 ;   420 ;   227 ;   193 ;- ;- ;- ;3513504037;;;;;;;;
Paranhos;  1 220 ;   618 ;   602 ;  1 220 ;   618 ;   602 ;- ;- ;- ;3513504036;;;;;;;;
Parque São Luis;  2 576 ;  1 245 ;  1 331 ;  2 576 ;  1 245 ;  1 331 ;- ;- ;- ;3513504012;;;;;;;;
Piaçaguera;   431 ;   238 ;   193 ;   431 ;   238 ;   193 ;- ;- ;- ;3513504042;;;;;;;;
Pinhal do Miranda;  5 984 ;  3 017 ;  2 967 ;  5 984 ;  3 017 ;  2 967 ;- ;- ;- ;3513504018;;;;;;;;
Raiz da Serra;   26 ;   9 ;   17 ;   26 ;   9 ;   17 ;- ;- ;- ;3513504041;;;;;;;;
Santa Rosa;  5 146 ;  2 562 ;  2 584 ;  5 146 ;  2 562 ;  2 584 ;- ;- ;- ;3513504007;;;;;;;;
Serra Pilões-Zangalá;   707 ;   364 ;   343 ;   707 ;   364 ;   343 ;- ;- ;- ;3513504023;;;;;;;;
Sítio Cafezal;   35 ;   22 ;   13 ;   35 ;   22 ;   13 ;- ;- ;- ;3513504002;;;;;;;;
Vale Verde;  2 008 ;  1 017 ;   991 ;  2 008 ;  1 017 ;   991 ;- ;- ;- ;3513504015;;;;;;;;
Vila Couto;  2 122 ;  1 119 ;  1 003 ;  2 122 ;  1 119 ;  1 003 ;- ;- ;- ;3513504006;;;;;;;;
Vila dos Pescadores;  9 244 ;  4 546 ;  4 698 ;  9 244 ;  4 546 ;  4 698 ;- ;- ;- ;3513504022;;;;;;;;
Vila Elizabeth;   455 ;   246 ;   209 ;   455 ;   246 ;   209 ;- ;- ;- ;3513504001;;;;;;;;
Vila Esperança;  15 070 ;  7 647 ;  7 423 ;  15 070 ;  7 647 ;  7 423 ;- ;- ;- ;3513504021;;;;;;;;
Vila Fabril;  1 854 ;   925 ;   929 ;  1 854 ;   925 ;   929 ;- ;- ;- ;3513504016;;;;;;;;
Vila Light;   257 ;   139 ;   118 ;   257 ;   139 ;   118 ;- ;- ;- ;3513504017;;;;;;;;
Vila Natal;  11 505 ;  5 708 ;  5 797 ;  11 505 ;  5 708 ;  5 797 ;- ;- ;- ;3513504009;;;;;;;;
Vila Nova;  11 192 ;  5 506 ;  5 686 ;  11 192 ;  5 506 ;  5 686 ;- ;- ;- ;3513504008;;;;;;;;
Vila São José;  4 498 ;  2 193 ;  2 305 ;  4 498 ;  2 193 ;  2 305 ;- ;- ;- ;3513504010;;;;;;;;
Diadema;  386 089 ;  186 803 ;  199 286 ;  386 089 ;  186 803 ;  199 286 ;- ;- ;- ;3513801;;;;;;;;
Campanário;  32 275 ;  15 539 ;  16 736 ;  32 275 ;  15 539 ;  16 736 ;- ;- ;- ;3513801012;;;;;;;;
Canhema;  23 686 ;  11 545 ;  12 141 ;  23 686 ;  11 545 ;  12 141 ;- ;- ;- ;3513801013;;;;;;;;
Casa Grande;  38 218 ;  18 486 ;  19 732 ;  38 218 ;  18 486 ;  19 732 ;- ;- ;- ;3513801006;;;;;;;;
Centro;  42 867 ;  20 249 ;  22 618 ;  42 867 ;  20 249 ;  22 618 ;- ;- ;- ;3513801011;;;;;;;;
Conceição;  47 143 ;  22 795 ;  24 348 ;  47 143 ;  22 795 ;  24 348 ;- ;- ;- ;3513801010;;;;;;;;
Eldorado;  42 637 ;  20 719 ;  21 918 ;  42 637 ;  20 719 ;  21 918 ;- ;- ;- ;3513801007;;;;;;;;
Inamar;  21 459 ;  10 439 ;  11 020 ;  21 459 ;  10 439 ;  11 020 ;- ;- ;- ;3513801015;;;;;;;;
Piraporinha;  25 070 ;  12 322 ;  12 748 ;  25 070 ;  12 322 ;  12 748 ;- ;- ;- ;3513801005;;;;;;;;
Serraria;  31 678 ;  15 554 ;  16 124 ;  31 678 ;  15 554 ;  16 124 ;- ;- ;- ;3513801008;;;;;;;;
Taboão;  48 640 ;  23 489 ;  25 151 ;  48 640 ;  23 489 ;  25 151 ;- ;- ;- ;3513801003;;;;;;;;
Vila Nogueira;  31 141 ;  15 039 ;  16 102 ;  31 141 ;  15 039 ;  16 102 ;- ;- ;- ;3513801014;;;;;;;;
Embu das Artes;  240 230 ;  116 728 ;  123 502 ;  240 230 ;  116 728 ;  123 502 ;- ;- ;- ;3515004;;;;;;;;
Água Espraiada;   290 ;   131 ;   159 ;   290 ;   131 ;   159 ;- ;- ;- ;3515004001;;;;;;;;
Água Morna;   146 ;   70 ;   76 ;   146 ;   70 ;   76 ;- ;- ;- ;3515004002;;;;;;;;
Bosque Capuava;   55 ;   44 ;   11 ;   55 ;   44 ;   11 ;- ;- ;- ;3515004003;;;;;;;;
Bosque do Embu;   158 ;   75 ;   83 ;   158 ;   75 ;   83 ;- ;- ;- ;3515004004;;;;;;;;
Caminho do Índio;   130 ;   65 ;   65 ;   130 ;   65 ;   65 ;- ;- ;- ;3515004005;;;;;;;;
Capuava;   594 ;   304 ;   290 ;   594 ;   304 ;   290 ;- ;- ;- ;3515004006;;;;;;;;
Centro;   954 ;   452 ;   502 ;   954 ;   452 ;   502 ;- ;- ;- ;3515004007;;;;;;;;
Cercado Grande;  1 283 ;   599 ;   684 ;  1 283 ;   599 ;   684 ;- ;- ;- ;3515004008;;;;;;;;
Chacaras Ana Lucia;  1 153 ;   540 ;   613 ;  1 153 ;   540 ;   613 ;- ;- ;- ;3515004009;;;;;;;;
Chacaras Aurora;   226 ;   109 ;   117 ;   226 ;   109 ;   117 ;- ;- ;- ;3515004010;;;;;;;;
Chacaras Bartira;   449 ;   212 ;   237 ;   449 ;   212 ;   237 ;- ;- ;- ;3515004011;;;;;;;;
Chacaras Lidia;   342 ;   166 ;   176 ;   342 ;   166 ;   176 ;- ;- ;- ;3515004012;;;;;;;;
Chacaras São Cristovão;   196 ;   100 ;   96 ;   196 ;   100 ;   96 ;- ;- ;- ;3515004013;;;;;;;;
Cooperativa;   41 ;   18 ;   23 ;   41 ;   18 ;   23 ;- ;- ;- ;3515004014;;;;;;;;
Embu Colonial;   498 ;   249 ;   249 ;   498 ;   249 ;   249 ;- ;- ;- ;3515004015;;;;;;;;
Embuema;   642 ;   301 ;   341 ;   642 ;   301 ;   341 ;- ;- ;- ;3515004017;;;;;;;;
Embu-Mirim;X ;X ;X ;X ;X ;X ;X ;X ;X ;3515004016;;;;;;;;
Engenho Velho;  2 199 ;  1 044 ;  1 155 ;  2 199 ;  1 044 ;  1 155 ;- ;- ;- ;3515004018;;;;;;;;
Esplanada;  4 682 ;  2 323 ;  2 359 ;  4 682 ;  2 323 ;  2 359 ;- ;- ;- ;3515004019;;;;;;;;
Estância de Embuarama;   342 ;   163 ;   179 ;   342 ;   163 ;   179 ;- ;- ;- ;3515004020;;;;;;;;
Gramado;   674 ;   323 ;   351 ;   674 ;   323 ;   351 ;- ;- ;- ;3515004021;;;;;;;;
Granja Nossa Senhora Aparecida;   115 ;   60 ;   55 ;   115 ;   60 ;   55 ;- ;- ;- ;3515004022;;;;;;;;
Invernada;   133 ;   70 ;   63 ;   133 ;   70 ;   63 ;- ;- ;- ;3515004023;;;;;;;;
Itatuba;   114 ;   60 ;   54 ;   114 ;   60 ;   54 ;- ;- ;- ;3515004024;;;;;;;;
Jardim Ângela;  5 732 ;  2 763 ;  2 969 ;  5 732 ;  2 763 ;  2 969 ;- ;- ;- ;3515004025;;;;;;;;
Jardim Batista;  1 293 ;   629 ;   664 ;  1 293 ;   629 ;   664 ;- ;- ;- ;3515004026;;;;;;;;
Jardim Casa Branca;  6 586 ;  3 214 ;  3 372 ;  6 586 ;  3 214 ;  3 372 ;- ;- ;- ;3515004027;;;;;;;;
Jardim Castilho;  1 923 ;   952 ;   971 ;  1 923 ;   952 ;   971 ;- ;- ;- ;3515004028;;;;;;;;
Jardim Colibri;   353 ;   171 ;   182 ;   353 ;   171 ;   182 ;- ;- ;- ;3515004029;;;;;;;;
Jardim da Luz;  6 867 ;  3 396 ;  3 471 ;  6 867 ;  3 396 ;  3 471 ;- ;- ;- ;3515004030;;;;;;;;
Jardim de Lourdes;  1 637 ;   799 ;   838 ;  1 637 ;   799 ;   838 ;- ;- ;- ;3515004031;;;;;;;;
Jardim do Colégio;  5 269 ;  2 678 ;  2 591 ;  5 269 ;  2 678 ;  2 591 ;- ;- ;- ;3515004032;;;;;;;;
Jardim Dom José;  5 586 ;  2 682 ;  2 904 ;  5 586 ;  2 682 ;  2 904 ;- ;- ;- ;3515004033;;;;;;;;
Jardim dos Ipes;   327 ;   165 ;   162 ;   327 ;   165 ;   162 ;- ;- ;- ;3515004034;;;;;;;;
Jardim dos Moraes;  1 873 ;   911 ;   962 ;  1 873 ;   911 ;   962 ;- ;- ;- ;3515004035;;;;;;;;
Jardim dos Oliveiras;   106 ;   48 ;   58 ;   106 ;   48 ;   58 ;- ;- ;- ;3515004036;;;;;;;;
Jardim Elisa;   81 ;   37 ;   44 ;   81 ;   37 ;   44 ;- ;- ;- ;3515004037;;;;;;;;
Jardim Fabiana;  2 123 ;  1 011 ;  1 112 ;  2 123 ;  1 011 ;  1 112 ;- ;- ;- ;3515004038;;;;;;;;
Jardim Ferreira;   197 ;   96 ;   101 ;   197 ;   96 ;   101 ;- ;- ;- ;3515004039;;;;;;;;
Jardim Flórida;  4 091 ;  1 955 ;  2 136 ;  4 091 ;  1 955 ;  2 136 ;- ;- ;- ;3515004040;;;;;;;;
Jardim Indaia;   793 ;   414 ;   379 ;   793 ;   414 ;   379 ;- ;- ;- ;3515004041;;;;;;;;
Jardim Independência;  1 616 ;   761 ;   855 ;  1 616 ;   761 ;   855 ;- ;- ;- ;3515004042;;;;;;;;
Jardim Irene;  4 270 ;  2 051 ;  2 219 ;  4 270 ;  2 051 ;  2 219 ;- ;- ;- ;3515004043;;;;;;;;
Jardim Itatiaia;   215 ;   106 ;   109 ;   215 ;   106 ;   109 ;- ;- ;- ;3515004044;;;;;;;;
Jardim Julia;  5 655 ;  2 742 ;  2 913 ;  5 655 ;  2 742 ;  2 913 ;- ;- ;- ;3515004045;;;;;;;;
Jardim Jurema;  2 089 ;  1 002 ;  1 087 ;  2 089 ;  1 002 ;  1 087 ;- ;- ;- ;3515004046;;;;;;;;
Jardim Laila;  1 728 ;   851 ;   877 ;  1 728 ;   851 ;   877 ;- ;- ;- ;3515004047;;;;;;;;
Jardim Lavorato;   910 ;   461 ;   449 ;   910 ;   461 ;   449 ;- ;- ;- ;3515004048;;;;;;;;
