"","Região","Subsetor","Trabalhadores"
"196","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"197","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"198","Centro","Serviços médicos, odontológicos e veterinários",5
"199","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",8
"200","Centro","Comércio varejista",1
"201","Centro","Indústria de produtos alimentícios, bebidas e álcool etílico",3
"202","Centro","Construçao civil",3
"203","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"204","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",5
"205","Centro","Transportes e comunicaçoes",2
"206","Centro","Comércio varejista",14
"207","Centro","Comércio varejista",2
"208","Centro","Comércio varejista",4
"209","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"210","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"211","Centro","Comércio varejista",5
"212","Centro","Serviços médicos, odontológicos e veterinários",1
"213","Centro","Comércio varejista",4
"214","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",146
"215","Centro","Serviços médicos, odontológicos e veterinários",1
"216","Centro","Construçao civil",2
"217","Centro","Comércio varejista",2
"218","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"219","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",6
"220","Centro","Comércio atacadista",24
"221","Centro","Comércio varejista",2
"222","Centro","Construçao civil",60
"223","Centro","Comércio varejista",18
"224","Centro","Comércio varejista",7
"225","Centro","Comércio varejista",0
"226","Centro","Comércio varejista",1
"227","Centro","Instituiçoes de crédito, seguros e capitalizaçao",1
"228","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"229","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",4
"230","Centro","Comércio varejista",2
"231","Centro","Comércio varejista",0
"232","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",24
"233","Centro","Comércio varejista",6
"234","Centro","Transportes e comunicaçoes",4
"235","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"236","Centro","Comércio varejista",12
"237","Centro","Comércio varejista",4
"238","Centro","Comércio varejista",3
"239","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"240","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"241","Centro","Serviços médicos, odontológicos e veterinários",1
"242","Centro","Comércio varejista",4
"243","Centro","Comércio varejista",2
"244","Centro","Comércio varejista",2
"245","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"246","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",169
"247","Centro","Comércio varejista",8
"248","Centro","Comércio varejista",2
"249","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"250","Centro","Comércio varejista",3
"251","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"252","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",5
"253","Centro","Instituiçoes de crédito, seguros e capitalizaçao",3
"254","Centro","Comércio varejista",2
"255","Centro","Comércio varejista",2
"256","Centro","Serviços médicos, odontológicos e veterinários",2
"257","Centro","Comércio varejista",3
"258","Centro","Comércio varejista",7
"259","Centro","Transportes e comunicaçoes",2
"260","Centro","Serviços médicos, odontológicos e veterinários",1
"261","Centro","Comércio varejista",5
"262","Centro","Construçao civil",0
"263","Centro","Comércio varejista",2
"264","Centro","Transportes e comunicaçoes",1
"265","Centro","Serviços médicos, odontológicos e veterinários",2
"266","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",2
"267","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"268","Centro","Construçao civil",1
"269","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"270","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",7
"271","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"272","Centro","Comércio varejista",0
"273","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",14
"274","Centro","Comércio varejista",20
"275","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"276","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",7
"277","Centro","Comércio varejista",2
"278","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",3
"279","Centro","Transportes e comunicaçoes",1
"280","Centro","Indústria de produtos alimentícios, bebidas e álcool etílico",7
"281","Centro","Comércio varejista",10
"282","Centro","Comércio varejista",8
"283","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"284","Centro","Comércio varejista",2
"285","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"286","Centro","Comércio varejista",3
"287","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",51
"288","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",4
"289","Centro","Transportes e comunicaçoes",1
"290","Centro","Comércio varejista",0
"291","Centro","Comércio varejista",5
"292","Centro","Comércio atacadista",5
"293","Centro","Comércio varejista",0
"294","Centro","Comércio varejista",0
"295","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"296","Centro","Comércio varejista",1
"297","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",0
"298","Centro","Ensino",14
"299","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",7
"300","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",11
"301","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",8
"302","Centro","Construçao civil",4
"303","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",1
"304","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",13
"305","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",2
"306","Centro","Indústria de produtos alimentícios, bebidas e álcool etílico",1
"307","Centro","Comércio varejista",8
"308","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"309","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",1
"310","Centro","Serviços médicos, odontológicos e veterinários",1
"311","Centro","Com. e administraçao de imóveis, valores mobiliários, serv. Técnico",0
"312","Centro","Comércio varejista",4
"313","Centro","Ind. química de produtos farmacêuticos, veterinários, perfumaria",2
"314","Centro","Transportes e comunicaçoes",1
"315","Centro","Comércio atacadista",0
"316","Centro","Serv. de alojamento, alimentaçao, reparaçao, manutençao, redaçao",3
